    PID CMD
   1051 avahi-daemon: chroot helper
    975 avahi-daemon: running [ali.local]
   2854 bash
   2311 cat
   2312 cat
     20 [cpuhp/0]
     21 [cpuhp/1]
     27 [cpuhp/2]
     33 [cpuhp/3]
    976 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
     68 [ecryptfs-kthread]
   1378 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   1269 gdm-session-worker [pam/gdm-autologin]
   2073 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
     19 [idle_inject/0]
     22 [idle_inject/1]
     28 [idle_inject/2]
     34 [idle_inject/3]
    534 [irq/18-vmwgfx]
     58 [irq/9-acpi]
    319 [jbd2/dm-0-8]
    805 [jbd2/sda2-8]
     45 [kauditd]
     51 [kcompactd0]
     43 [kdevtmpfs]
     54 [khugepaged]
     47 [khungtaskd]
     52 [ksmd]
     16 [ksoftirqd/0]
     24 [ksoftirqd/1]
     30 [ksoftirqd/2]
     36 [ksoftirqd/3]
     67 [kswapd0]
      2 [kthreadd]
   4247 [kworker/0:0-events]
     10 [kworker/0:0H-kblockd]
   3298 [kworker/0:1-events]
    155 [kworker/0:1H]
   3740 [kworker/0:2]
   4063 [kworker/1:0-events]
     26 [kworker/1:0H-events_highpri]
     53 [kworker/1:1-cgroup_destroy]
     66 [kworker/1:1H-kblockd]
    336 [kworker/1:2-events]
  15584 [kworker/2:0-cgroup_destroy]
   4190 [kworker/2:0H-kblockd]
     70 [kworker/2:1-events]
     81 [kworker/2:1H-kblockd]
    506 [kworker/2:2-events]
    268 [kworker/2:2H-kblockd]
   3694 [kworker/3:0-events]
     38 [kworker/3:0H-events_highpri]
   3882 [kworker/3:1]
    154 [kworker/3:1H-kblockd]
     71 [kworker/R-acpi_]
     60 [kworker/R-ata_s]
     57 [kworker/R-blkcg]
    109 [kworker/R-charg]
    582 [kworker/R-crypt]
     64 [kworker/R-devfr]
     63 [kworker/R-edac-]
    320 [kworker/R-ext4-]
    806 [kworker/R-ext4-]
     44 [kworker/R-inet_]
     80 [kworker/R-ipv6_]
     56 [kworker/R-kbloc]
    272 [kworker/R-kdmfl]
     55 [kworker/R-kinte]
     88 [kworker/R-kstrp]
     69 [kworker/R-kthro]
     61 [kworker/R-md]
     62 [kworker/R-md_bi]
     79 [kworker/R-mld]
     12 [kworker/R-mm_pe]
      7 [kworker/R-netns]
      4 [kworker/R-rcu_g]
      5 [kworker/R-rcu_p]
     74 [kworker/R-scsi_]
     76 [kworker/R-scsi_]
    177 [kworker/R-scsi_]
    179 [kworker/R-scsi_]
    181 [kworker/R-scsi_]
    183 [kworker/R-scsi_]
    185 [kworker/R-scsi_]
    187 [kworker/R-scsi_]
    189 [kworker/R-scsi_]
    191 [kworker/R-scsi_]
    193 [kworker/R-scsi_]
    195 [kworker/R-scsi_]
    197 [kworker/R-scsi_]
    199 [kworker/R-scsi_]
    201 [kworker/R-scsi_]
    203 [kworker/R-scsi_]
    205 [kworker/R-scsi_]
    207 [kworker/R-scsi_]
    209 [kworker/R-scsi_]
    211 [kworker/R-scsi_]
    213 [kworker/R-scsi_]
    215 [kworker/R-scsi_]
    217 [kworker/R-scsi_]
    219 [kworker/R-scsi_]
    221 [kworker/R-scsi_]
    223 [kworker/R-scsi_]
    225 [kworker/R-scsi_]
    227 [kworker/R-scsi_]
    229 [kworker/R-scsi_]
    231 [kworker/R-scsi_]
    233 [kworker/R-scsi_]
    235 [kworker/R-scsi_]
      6 [kworker/R-slub_]
     59 [kworker/R-tpm_d]
    535 [kworker/R-ttm]
     50 [kworker/R-write]
   3724 [kworker/u10:0-loop3]
   8520 [kworker/u10:10-events_power_efficient]
   8521 [kworker/u10:11]
   8513 [kworker/u10:1-loop5]
    279 [kworker/u10:2-loop2]
    399 [kworker/u10:3-loop4]
   8514 [kworker/u10:4-loop6]
   8515 [kworker/u10:5-loop7]
   8516 [kworker/u10:6-flush-8:0]
   8517 [kworker/u10:7-loop9]
   8518 [kworker/u10:8-events_unbound]
   8519 [kworker/u10:9-events_power_efficient]
   3487 [kworker/u11:1-events_power_efficient]
     78 [kworker/u11:3-flush-8:0]
    102 [kworker/u11:4-events_power_efficient]
   3570 [kworker/u12:0-flush-8:0]
   3725 [kworker/u12:1-events_unbound]
    111 [kworker/u12:2-events_unbound]
   9450 [kworker/u12:3-flush-8:0]
     91 [kworker/u13:0]
     92 [kworker/u14:0]
     93 [kworker/u15:0]
     94 [kworker/u16:0]
     95 [kworker/u17:0]
     11 [kworker/u8:0-ext4-rsv-conversion]
    429 [kworker/u8:1-ext4-rsv-conversion]
   3711 [kworker/u9:0-flush-252:0]
   3842 [kworker/u9:1-events_power_efficient]
    261 [kworker/u9:26-events_unbound]
   3938 [kworker/u9:2-events_unbound]
     18 [migration/0]
     23 [migration/1]
     29 [migration/2]
     35 [migration/3]
     48 [oom_reaper]
   2305 /opt/google/chrome/chrome
   2317 /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/osc/.config/google-chrome/Crash Reports --metrics-dir=/home/osc/.config/google-chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 24.04 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=127.0.6533.119 --initial-client-fd=5 --shared-client-connection
   2319 /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/osc/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 24.04 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=127.0.6533.119 --initial-client-fd=4 --shared-client-connection
   2353 /opt/google/chrome/chrome --type=gpu-process --crashpad-handler-pid=2317 --enable-crash-reporter=42c9cd50-246c-410b-8a68-72e26a227bc4, --change-stack-guard-on-fork=enable --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=3,i,6797934493840906052,6243845814823089258,262144 --variations-seed-version=20240822-180156.782000
   2599 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=2317 --enable-crash-reporter=42c9cd50-246c-410b-8a68-72e26a227bc4, --change-stack-guard-on-fork=enable --disable-gpu-compositing --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=19 --time-ticks-at-unix-epoch=-1724591147130298 --launch-time-ticks=69210061 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,6797934493840906052,6243845814823089258,262144 --variations-seed-version=20240822-180156.782000
   3625 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=2317 --enable-crash-reporter=42c9cd50-246c-410b-8a68-72e26a227bc4, --change-stack-guard-on-fork=enable --disable-gpu-compositing --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=38 --time-ticks-at-unix-epoch=-1724591147130298 --launch-time-ticks=582472387 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,6797934493840906052,6243845814823089258,262144 --variations-seed-version=20240822-180156.782000
   3634 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=2317 --enable-crash-reporter=42c9cd50-246c-410b-8a68-72e26a227bc4, --change-stack-guard-on-fork=enable --disable-gpu-compositing --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=39 --time-ticks-at-unix-epoch=-1724591147130298 --launch-time-ticks=582880189 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,6797934493840906052,6243845814823089258,262144 --variations-seed-version=20240822-180156.782000
   8576 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=2317 --enable-crash-reporter=42c9cd50-246c-410b-8a68-72e26a227bc4, --change-stack-guard-on-fork=enable --disable-gpu-compositing --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=66 --time-ticks-at-unix-epoch=-1724591147130298 --launch-time-ticks=1374112138 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,6797934493840906052,6243845814823089258,262144 --variations-seed-version=20240822-180156.782000
